Frequency (Hz)	Level (dB)
21.533203	-60.283791
43.066406	-73.099770
64.599609	-79.111519
86.132812	-81.923721
107.666016	-84.860359
129.199219	-83.880737
150.732422	-83.270889
172.265625	-84.834320
193.798828	-84.559219
215.332031	-82.715706
236.865234	-77.582352
258.398438	-70.625648
279.931641	-61.069740
301.464844	-42.751083
322.998047	-30.237408
344.531250	-30.973019
366.064453	-46.102722
387.597656	-61.460434
409.130859	-69.353394
430.664062	-69.785591
452.197266	-69.733528
473.730469	-71.475433
495.263672	-74.093689
516.796875	-77.402176
538.330078	-76.457977
559.863281	-76.506660
581.396484	-76.255768
602.929688	-73.431236
624.462891	-57.469273
645.996094	-39.147411
667.529297	-35.481152
689.062500	-43.337814
710.595703	-67.504692
732.128906	-79.781487
753.662109	-85.481796
775.195312	-88.213844
796.728516	-88.335243
818.261719	-87.812538
839.794922	-86.630196
861.328125	-83.380798
882.861328	-80.056267
904.394531	-75.170143
925.927734	-68.921753
947.460938	-58.449673
968.994141	-37.243446
990.527344	-27.558613
1012.060547	-29.455807
1033.593750	-45.132706
1055.126953	-60.509296
1076.660156	-69.635086
1098.193359	-74.043671
1119.726562	-74.315193
1141.259766	-75.226791
1162.792969	-75.664223
1184.326172	-75.116539
1205.859375	-70.639999
1227.392578	-67.909637
1248.925781	-61.386440
1270.458984	-57.003071
1291.992188	-38.549633
1313.525391	-24.688663
1335.058594	-22.546949
1356.591797	-31.257994
1378.125000	-53.422623
1399.658203	-65.398796
1421.191406	-71.789360
1442.724609	-76.602676
1464.257812	-79.255531
1485.791016	-80.167267
1507.324219	-81.309067
1528.857422	-83.828400
1550.390625	-83.210655
1571.923828	-81.637230
1593.457031	-80.563141
1614.990234	-67.966934
1636.523438	-52.247780
1658.056641	-46.785328
1679.589844	-50.135078
1701.123047	-62.934505
1722.656250	-79.434746
1744.189453	-86.268578
1765.722656	-87.838768
1787.255859	-90.972382
1808.789062	-89.995094
1830.322266	-88.851456
1851.855469	-89.432159
1873.388672	-91.181190
1894.921875	-93.913177
1916.455078	-92.886391
1937.988281	-90.834900
1959.521484	-82.912590
1981.054688	-73.538429
2002.587891	-71.944405
2024.121094	-78.746361
2045.654297	-92.910599
2067.187500	-97.410233
2088.720703	-99.039352
2110.253906	-99.280914
2131.787109	-100.655914
2153.320312	-99.337044
2174.853516	-98.624069
2196.386719	-98.405090
2217.919922	-100.011391
2239.453125	-98.571533
2260.986328	-93.102379
2282.519531	-77.223938
2304.052734	-65.043091
2325.585938	-60.281502
2347.119141	-63.533344
2368.652344	-77.498871
2390.185547	-90.029732
2411.718750	-93.569893
2433.251953	-94.388420
2454.785156	-94.015350
2476.318359	-92.950089
2497.851562	-95.377754
2519.384766	-95.200554
2540.917969	-94.250061
2562.451172	-94.338684
2583.984375	-91.915413
2605.517578	-82.659149
2627.050781	-69.102219
2648.583984	-62.071804
2670.117188	-60.650982
2691.650391	-67.736160
2713.183594	-83.750381
2734.716797	-87.515266
2756.250000	-83.766701
2777.783203	-79.426102
2799.316406	-77.060486
2820.849609	-76.112221
2842.382812	-75.410912
2863.916016	-73.100464
2885.449219	-71.208496
2906.982422	-69.911674
2928.515625	-65.280647
2950.048828	-54.669876
2971.582031	-48.520351
2993.115234	-46.824829
3014.648438	-50.902554
3036.181641	-64.774551
3057.714844	-77.163292
3079.248047	-83.993416
3100.781250	-86.013512
3122.314453	-84.721481
3143.847656	-83.332230
3165.380859	-83.664192
3186.914062	-84.391678
3208.447266	-84.819977
3229.980469	-83.398888
3251.513672	-81.476364
3273.046875	-68.475937
3294.580078	-56.250759
3316.113281	-51.701736
3337.646484	-52.320393
3359.179688	-59.967159
3380.712891	-75.439789
3402.246094	-81.622009
3423.779297	-82.297997
3445.312500	-82.547768
3466.845703	-81.801071
3488.378906	-82.930923
3509.912109	-83.585068
3531.445312	-85.636528
3552.978516	-86.288963
3574.511719	-85.071655
3596.044922	-76.551064
3617.578125	-65.790314
3639.111328	-60.247753
3660.644531	-58.067646
3682.177734	-60.468975
3703.710938	-70.626732
3725.244141	-82.383720
3746.777344	-84.462036
3768.310547	-80.791603
3789.843750	-76.408043
3811.376953	-75.247299
3832.910156	-74.341263
3854.443359	-71.929565
3875.976562	-70.965981
3897.509766	-70.132584
3919.042969	-67.056175
3940.576172	-56.288300
3962.109375	-48.988258
3983.642578	-46.216545
4005.175781	-46.987194
4026.708984	-53.020168
4048.242188	-64.074707
4069.775391	-68.949654
4091.308594	-70.163155
4112.841797	-70.604240
4134.375000	-69.664948
4155.908203	-71.190956
4177.441406	-73.160774
4198.974609	-73.220383
4220.507812	-72.147835
4242.041016	-69.801079
4263.574219	-59.879070
4285.107422	-50.414928
4306.640625	-46.522999
4328.173828	-44.883976
4349.707031	-48.238937
4371.240234	-60.043682
4392.773438	-71.249298
4414.306641	-75.983566
4435.839844	-77.711800
4457.373047	-79.159355
4478.906250	-80.759560
4500.439453	-80.240540
4521.972656	-81.140434
4543.505859	-84.330391
4565.039062	-83.130157
4586.572266	-77.893791
4608.105469	-69.836006
4629.638672	-64.419876
4651.171875	-60.464386
4672.705078	-60.189770
4694.238281	-66.903275
4715.771484	-78.090179
4737.304688	-79.112244
4758.837891	-74.756454
4780.371094	-72.800690
4801.904297	-72.834885
4823.437500	-76.208656
4844.970703	-78.355263
4866.503906	-77.627190
4888.037109	-77.496445
4909.570312	-78.018478
4931.103516	-75.527771
4952.636719	-70.207039
4974.169922	-68.259804
4995.703125	-66.620674
5017.236328	-68.754753
5038.769531	-76.860954
5060.302734	-81.402428
5081.835938	-83.243797
5103.369141	-83.543037
5124.902344	-84.949806
5146.435547	-86.066063
5167.968750	-85.767876
5189.501953	-85.645813
5211.035156	-86.952255
5232.568359	-86.842155
5254.101562	-80.458031
5275.634766	-73.648773
5297.167969	-68.996811
5318.701172	-68.131508
5340.234375	-68.934830
5361.767578	-74.386490
5383.300781	-83.594452
5404.833984	-86.866936
5426.367188	-86.190704
5447.900391	-84.525597
5469.433594	-82.895111
5490.966797	-81.588432
5512.500000	-79.687057
5534.033203	-79.766991
5555.566406	-80.117264
5577.099609	-73.629662
5598.632812	-64.701736
5620.166016	-60.622948
5641.699219	-59.065277
5663.232422	-58.269825
5684.765625	-61.652588
5706.298828	-71.120796
5727.832031	-76.374229
5749.365234	-76.706413
5770.898438	-77.270477
5792.431641	-74.917419
5813.964844	-73.507904
5835.498047	-73.469315
5857.031250	-74.359085
5878.564453	-73.664719
5900.097656	-70.897278
5921.630859	-61.975166
5943.164062	-57.164684
5964.697266	-55.757084
5986.230469	-55.689484
6007.763672	-56.691208
6029.296875	-61.523590
6050.830078	-72.133545
6072.363281	-77.024567
6093.896484	-75.654198
6115.429688	-76.787979
6136.962891	-78.415161
6158.496094	-77.236443
6180.029297	-78.523956
6201.562500	-80.050896
6223.095703	-79.227760
6244.628906	-75.169945
6266.162109	-69.549751
6287.695312	-68.718727
6309.228516	-68.444313
6330.761719	-69.029015
6352.294922	-70.814262
6373.828125	-76.891693
6395.361328	-79.502647
6416.894531	-78.804817
6438.427734	-78.474709
6459.960938	-79.406593
6481.494141	-78.721413
6503.027344	-79.267654
6524.560547	-80.311623
6546.093750	-80.016769
6567.626953	-76.252968
6589.160156	-71.050735
6610.693359	-66.169136
6632.226562	-63.133705
6653.759766	-62.635010
6675.292969	-62.765209
6696.826172	-68.266464
6718.359375	-78.099350
6739.892578	-78.857216
6761.425781	-78.917747
6782.958984	-79.832184
6804.492188	-81.314072
6826.025391	-83.507088
6847.558594	-85.281609
6869.091797	-83.740692
6890.625000	-77.088486
6912.158203	-68.865440
6933.691406	-64.792732
6955.224609	-63.902527
6976.757812	-64.912941
6998.291016	-66.151192
7019.824219	-67.623192
7041.357422	-73.793343
7062.890625	-78.672279
7084.423828	-77.963272
7105.957031	-77.191093
7127.490234	-75.870308
7149.023438	-77.288826
7170.556641	-78.366318
7192.089844	-79.104439
7213.623047	-79.772697
7235.156250	-76.024239
7256.689453	-69.740776
7278.222656	-69.254143
7299.755859	-69.907639
7321.289062	-69.453278
7342.822266	-70.111542
7364.355469	-74.113625
7385.888672	-82.261055
7407.421875	-85.598434
7428.955078	-84.683533
7450.488281	-84.798912
7472.021484	-84.197952
7493.554688	-84.956665
7515.087891	-84.352440
7536.621094	-83.399101
7558.154297	-82.403625
7579.687500	-80.159058
7601.220703	-77.267052
7622.753906	-75.448761
7644.287109	-73.578300
7665.820312	-74.547684
7687.353516	-76.060776
7708.886719	-80.821716
7730.419922	-82.313812
7751.953125	-80.626915
7773.486328	-81.028313
7795.019531	-82.147530
7816.552734	-81.622665
7838.085938	-82.716003
7859.619141	-83.695892
7881.152344	-82.814964
7902.685547	-81.083206
7924.218750	-78.273514
7945.751953	-78.250816
7967.285156	-79.679146
7988.818359	-80.463783
8010.351562	-82.054344
8031.884766	-83.084381
8053.417969	-81.617783
8074.951172	-78.451866
8096.484375	-78.525192
8118.017578	-76.638870
8139.550781	-75.082664
8161.083984	-73.093750
8182.617188	-70.695564
8204.150391	-69.935013
8225.683594	-67.377327
8247.216797	-63.689899
8268.750000	-63.452152
8290.283203	-66.415024
8311.816406	-66.366211
8333.349609	-66.249367
8354.882812	-67.380753
8376.416016	-70.457695
8397.949219	-69.729630
8419.482422	-69.730469
8441.015625	-69.902901
8462.548828	-69.349785
8484.082031	-69.180916
8505.615234	-66.836487
8527.148438	-65.012428
8548.681641	-62.272663
8570.214844	-58.308784
8591.748047	-56.756031
8613.281250	-56.528202
8634.814453	-56.384686
8656.347656	-56.468857
8677.880859	-57.984203
8699.414062	-62.564419
8720.947266	-67.573471
8742.480469	-68.698517
8764.013672	-70.296875
8785.546875	-71.127129
8807.080078	-71.269234
8828.613281	-71.341301
8850.146484	-70.443192
8871.679688	-68.500854
8893.212891	-63.098152
8914.746094	-60.292011
8936.279297	-58.975639
8957.812500	-58.094189
8979.345703	-58.112270
9000.878906	-57.937439
9022.412109	-59.226059
9043.945312	-65.673424
9065.478516	-70.076408
9087.011719	-72.375092
9108.544922	-71.825943
9130.078125	-70.433945
9151.611328	-70.424553
9173.144531	-70.653160
9194.677734	-70.549927
9216.210938	-67.643806
9237.744141	-64.664558
9259.277344	-65.954788
9280.810547	-69.752930
9302.343750	-71.194099
9323.876953	-73.656898
9345.410156	-76.069519
9366.943359	-80.762741
9388.476562	-88.617981
9410.009766	-92.763214
9431.542969	-94.002052
9453.076172	-91.725685
9474.609375	-89.935638
9496.142578	-88.107285
9517.675781	-86.346901
9539.208984	-84.013268
9560.742188	-79.205811
9582.275391	-76.615829
9603.808594	-74.922005
9625.341797	-73.074860
9646.875000	-70.844749
9668.408203	-68.943665
9689.941406	-69.484520
9711.474609	-74.990349
9733.007812	-78.065536
9754.541016	-77.460220
9776.074219	-77.421265
9797.607422	-77.311699
9819.140625	-77.690880
9840.673828	-76.147751
9862.207031	-72.983078
9883.740234	-69.361931
9905.273438	-69.281929
9926.806641	-68.668663
9948.339844	-68.088730
9969.873047	-67.996727
9991.406250	-67.074066
10012.939453	-69.931252
10034.472656	-74.540314
10056.005859	-76.405785
10077.539062	-76.904167
10099.072266	-77.592140
10120.605469	-78.235474
10142.138672	-79.083992
10163.671875	-78.907501
10185.205078	-76.326004
10206.738281	-71.917152
10228.271484	-68.320305
10249.804688	-68.150688
10271.337891	-68.347343
10292.871094	-67.443954
10314.404297	-65.904770
10335.937500	-66.775749
10357.470703	-70.300362
10379.003906	-73.637520
10400.537109	-78.178505
10422.070312	-80.452797
10443.603516	-80.193336
10465.136719	-80.175636
10486.669922	-80.453949
10508.203125	-80.455772
10529.736328	-77.547516
10551.269531	-72.942505
10572.802734	-71.767883
10594.335938	-72.581253
10615.869141	-72.161072
10637.402344	-70.643959
10658.935547	-70.604553
10680.468750	-72.691833
10702.001953	-76.719460
10723.535156	-81.972015
10745.068359	-85.769394
10766.601562	-88.518425
10788.134766	-91.393250
10809.667969	-93.176361
10831.201172	-94.937981
10852.734375	-94.508263
10874.267578	-93.991760
10895.800781	-93.360573
10917.333984	-92.505890
10938.867188	-92.589134
10960.400391	-91.848785
10981.933594	-90.539085
11003.466797	-89.356834
11025.000000	-89.052017
11046.533203	-91.241127
11068.066406	-92.380951
11089.599609	-92.092758
11111.132812	-92.421463
11132.666016	-91.989166
11154.199219	-91.864456
11175.732422	-91.623985
11197.265625	-89.256615
11218.798828	-86.684853
11240.332031	-82.706551
11261.865234	-80.658607
11283.398438	-80.429222
11304.931641	-81.439072
11326.464844	-81.274620
11347.998047	-81.708733
11369.531250	-82.810051
11391.064453	-86.736717
11412.597656	-87.711830
11434.130859	-89.507118
11455.664062	-89.898323
11477.197266	-90.450638
11498.730469	-89.983040
11520.263672	-87.704529
11541.796875	-84.886017
11563.330078	-83.949814
11584.863281	-80.593285
11606.396484	-80.752922
11627.929688	-79.950897
11649.462891	-78.556213
11670.996094	-78.556999
11692.529297	-78.605446
11714.062500	-80.952881
11735.595703	-82.275734
11757.128906	-83.043587
11778.662109	-82.405754
11800.195312	-82.599266
11821.728516	-81.104767
11843.261719	-80.009651
11864.794922	-78.660400
11886.328125	-77.704887
11907.861328	-76.492065
11929.394531	-75.276749
11950.927734	-74.973076
11972.460938	-74.369827
11993.994141	-73.469643
12015.527344	-73.625351
12037.060547	-76.563744
12058.593750	-80.509926
12080.126953	-82.560738
12101.660156	-84.225143
12123.193359	-85.116905
12144.726562	-85.784851
12166.259766	-85.754814
12187.792969	-86.096649
12209.326172	-85.863152
12230.859375	-86.742973
12252.392578	-85.091522
12273.925781	-89.176712
12295.458984	-91.464584
12316.992188	-90.990257
12338.525391	-90.218605
12360.058594	-92.512215
12381.591797	-96.740761
12403.125000	-98.662880
12424.658203	-99.875092
12446.191406	-100.323860
12467.724609	-99.625008
12489.257812	-98.885551
12510.791016	-98.682114
12532.324219	-97.769104
12553.857422	-96.119377
12575.390625	-93.538094
12596.923828	-93.072441
12618.457031	-92.000618
12639.990234	-90.845657
12661.523438	-90.518700
12683.056641	-89.305252
12704.589844	-89.500740
12726.123047	-92.651573
12747.656250	-93.793098
12769.189453	-95.054535
12790.722656	-94.879616
12812.255859	-93.784241
12833.789062	-93.158440
12855.322266	-92.831795
12876.855469	-91.868416
12898.388672	-90.353218
12919.921875	-88.771088
12941.455078	-88.283936
12962.988281	-87.637215
12984.521484	-87.163094
13006.054688	-87.024475
13027.587891	-85.046555
13049.121094	-87.910423
13070.654297	-89.117043
13092.187500	-89.969940
13113.720703	-90.590614
13135.253906	-89.689812
13156.787109	-88.501213
13178.320312	-87.977303
13199.853516	-87.430672
13221.386719	-87.792084
13242.919922	-88.343086
13264.453125	-87.084930
13285.986328	-85.620026
13307.519531	-86.841751
13329.052734	-88.382187
13350.585938	-88.405853
13372.119141	-90.604424
13393.652344	-95.620216
13415.185547	-95.980980
13436.718750	-96.085785
13458.251953	-96.592392
13479.785156	-95.777344
13501.318359	-94.292168
13522.851562	-92.356087
13544.384766	-91.651482
13565.917969	-91.900124
13587.451172	-91.061584
13608.984375	-90.423798
13630.517578	-89.588348
13652.050781	-88.164742
13673.583984	-87.301971
13695.117188	-87.384140
13716.650391	-89.308411
13738.183594	-89.359116
13759.716797	-89.649086
13781.250000	-89.411438
13802.783203	-88.784981
13824.316406	-87.033867
13845.849609	-84.947571
13867.382812	-83.668060
13888.916016	-84.085358
13910.449219	-83.142952
13931.982422	-82.108696
13953.515625	-81.097206
13975.048828	-79.436142
13996.582031	-79.479691
14018.115234	-80.600243
14039.648438	-81.404495
14061.181641	-83.188232
14082.714844	-85.523491
14104.248047	-87.015083
14125.781250	-87.624130
14147.314453	-87.613113
14168.847656	-86.815536
14190.380859	-87.648293
14211.914062	-88.929802
14233.447266	-89.564789
14254.980469	-90.393448
14276.513672	-88.870438
14298.046875	-88.322044
14319.580078	-87.957817
14341.113281	-89.138374
14362.646484	-90.308899
14384.179688	-90.704887
14405.712891	-90.951355
14427.246094	-91.340225
14448.779297	-91.400589
14470.312500	-91.075409
14491.845703	-90.955597
14513.378906	-89.341774
14534.912109	-89.260986
14556.445312	-91.337540
14577.978516	-93.198441
14599.511719	-92.233467
14621.044922	-89.196762
14642.578125	-88.819389
14664.111328	-89.295975
14685.644531	-91.535919
14707.177734	-93.004494
14728.710938	-95.227966
14750.244141	-96.908356
14771.777344	-98.469719
14793.310547	-97.753494
14814.843750	-96.925797
14836.376953	-95.433868
14857.910156	-94.483055
14879.443359	-95.802727
14900.976562	-96.064400
14922.509766	-94.348717
14944.042969	-92.741470
14965.576172	-91.635941
14987.109375	-90.853951
15008.642578	-91.487686
15030.175781	-91.173363
15051.708984	-93.126961
15073.242188	-96.180023
15094.775391	-98.224678
15116.308594	-98.441574
15137.841797	-98.090294
15159.375000	-98.761696
15180.908203	-98.191811
15202.441406	-99.008888
15223.974609	-98.788605
15245.507812	-98.571213
15267.041016	-98.456604
15288.574219	-99.587547
15310.107422	-99.677475
15331.640625	-99.451599
15353.173828	-99.087097
15374.707031	-99.285812
15396.240234	-99.824478
15417.773438	-101.533714
15439.306641	-101.926262
15460.839844	-101.658440
