Frequency (Hz)	Level (dB)
21.533203	-67.565025
43.066406	-78.692268
64.599609	-84.639603
86.132812	-88.270859
107.666016	-90.772797
129.199219	-90.365082
150.732422	-90.488182
172.265625	-90.873856
193.798828	-91.322365
215.332031	-89.659836
236.865234	-85.482475
258.398438	-78.686249
279.931641	-68.981934
301.464844	-50.384422
322.998047	-38.244957
344.531250	-39.165176
366.064453	-54.432224
387.597656	-70.699348
409.130859	-78.889549
430.664062	-81.632027
452.197266	-80.925102
473.730469	-80.747192
495.263672	-80.891838
516.796875	-79.315575
538.330078	-75.392014
559.863281	-72.948769
581.396484	-71.197235
602.929688	-61.945629
624.462891	-46.161152
645.996094	-29.596987
667.529297	-26.852015
689.062500	-35.393623
710.595703	-58.009014
732.128906	-69.406555
753.662109	-77.337029
775.195312	-82.132858
796.728516	-83.839417
818.261719	-87.524384
839.794922	-86.489914
861.328125	-82.136383
882.861328	-77.361061
904.394531	-74.049805
925.927734	-67.504601
947.460938	-55.142765
968.994141	-35.241573
990.527344	-27.605957
1012.060547	-30.191099
1033.593750	-44.718494
1055.126953	-62.785660
1076.660156	-70.237701
1098.193359	-75.228088
1119.726562	-75.148331
1141.259766	-77.786621
1162.792969	-76.477356
1184.326172	-77.457207
1205.859375	-77.712616
1227.392578	-73.619583
1248.925781	-68.993866
1270.458984	-59.645348
1291.992188	-40.040382
1313.525391	-27.882378
1335.058594	-26.422997
1356.591797	-34.331589
1378.125000	-51.658752
1399.658203	-64.517082
1421.191406	-70.012054
1442.724609	-71.180992
1464.257812	-68.055290
1485.791016	-65.642433
1507.324219	-66.559761
1528.857422	-69.195557
1550.390625	-68.566467
1571.923828	-67.864494
1593.457031	-67.203491
1614.990234	-51.809399
1636.523438	-39.907295
1658.056641	-36.030109
1679.589844	-40.779430
1701.123047	-54.791641
1722.656250	-73.705612
1744.189453	-79.952469
1765.722656	-81.472504
1787.255859	-84.434937
1808.789062	-85.275444
1830.322266	-89.046341
1851.855469	-89.724709
1873.388672	-90.275101
1894.921875	-90.308807
1916.455078	-90.038322
1937.988281	-76.436050
1959.521484	-63.569347
1981.054688	-55.389214
2002.587891	-54.801300
2024.121094	-62.145573
2045.654297	-75.635437
2067.187500	-85.624901
2088.720703	-86.821693
2110.253906	-85.988991
2131.787109	-87.973534
2153.320312	-87.027237
2174.853516	-90.259453
2196.386719	-88.443466
2217.919922	-87.797859
2239.453125	-88.506111
2260.986328	-87.810211
2282.519531	-74.979721
2304.052734	-68.008041
2325.585938	-66.149658
2347.119141	-70.815598
2368.652344	-80.038399
2390.185547	-91.058495
2411.718750	-93.709145
2433.251953	-93.576050
2454.785156	-92.974998
2476.318359	-91.566872
2497.851562	-91.436447
2519.384766	-92.323448
2540.917969	-91.498138
2562.451172	-91.350655
2583.984375	-87.957008
2605.517578	-71.177559
2627.050781	-62.213459
2648.583984	-57.670826
2670.117188	-59.663387
2691.650391	-67.236000
2713.183594	-78.826096
2734.716797	-89.360298
2756.250000	-92.813560
2777.783203	-92.700615
2799.316406	-92.168190
2820.849609	-92.332626
2842.382812	-91.979843
2863.916016	-92.908882
2885.449219	-91.858368
2906.982422	-88.021484
2928.515625	-71.767860
2950.048828	-61.741951
2971.582031	-54.538219
2993.115234	-51.420029
3014.648438	-55.253548
3036.181641	-63.145332
3057.714844	-75.417252
3079.248047	-79.981178
3100.781250	-79.449028
3122.314453	-78.182442
3143.847656	-76.770020
3165.380859	-76.277626
3186.914062	-76.428123
3208.447266	-74.770973
3229.980469	-69.835381
3251.513672	-55.972744
3273.046875	-45.129715
3294.580078	-39.978237
3316.113281	-35.349220
3337.646484	-37.118717
3359.179688	-44.042393
3380.712891	-53.068893
3402.246094	-65.300552
3423.779297	-69.468666
3445.312500	-72.686081
3466.845703	-72.990860
3488.378906	-72.981224
3509.912109	-74.318199
3531.445312	-76.691277
3552.978516	-77.122108
3574.511719	-69.786629
3596.044922	-56.443840
3617.578125	-53.376644
3639.111328	-53.716965
3660.644531	-55.795116
3682.177734	-63.184475
3703.710938	-69.665192
3725.244141	-77.001122
3746.777344	-78.087868
3768.310547	-78.244522
3789.843750	-78.115883
3811.376953	-78.147720
3832.910156	-79.373253
3854.443359	-84.313843
3875.976562	-87.316002
3897.509766	-84.583420
3919.042969	-71.559753
3940.576172	-66.615509
3962.109375	-61.562725
3983.642578	-57.211727
4005.175781	-59.336609
4026.708984	-61.348076
4048.242188	-66.891571
4069.775391	-78.184082
4091.308594	-77.632187
4112.841797	-74.657417
4134.375000	-72.737511
4155.908203	-70.474625
4177.441406	-70.211647
4198.974609	-69.187439
4220.507812	-66.502838
4242.041016	-49.620987
4263.574219	-42.393364
4285.107422	-39.705872
4306.640625	-36.675682
4328.173828	-37.693165
4349.707031	-45.382809
4371.240234	-53.643494
4392.773438	-64.028618
4414.306641	-74.614059
4435.839844	-76.333900
4457.373047	-79.809822
4478.906250	-80.353874
4500.439453	-79.467140
4521.972656	-79.098587
4543.505859	-77.253357
4565.039062	-60.700222
4586.572266	-51.164749
4608.105469	-48.669556
4629.638672	-45.857914
4651.171875	-44.388878
4672.705078	-48.696388
4694.238281	-56.932644
4715.771484	-64.642700
4737.304688	-75.024033
4758.837891	-79.108749
4780.371094	-81.343201
4801.904297	-82.310608
4823.437500	-82.010445
4844.970703	-82.486778
4866.503906	-81.210510
4888.037109	-73.900490
4909.570312	-61.762951
4931.103516	-59.104275
4952.636719	-56.781593
4974.169922	-54.962894
4995.703125	-57.207134
5017.236328	-64.647789
5038.769531	-73.978203
5060.302734	-84.531578
5081.835938	-92.226555
5103.369141	-93.905716
5124.902344	-92.078659
5146.435547	-90.574883
5167.968750	-90.113617
5189.501953	-90.039703
5211.035156	-84.473930
5232.568359	-72.364273
5254.101562	-67.234711
5275.634766	-64.622169
5297.167969	-61.825069
5318.701172	-60.453133
5340.234375	-61.479790
5361.767578	-65.665932
5383.300781	-70.444160
5404.833984	-80.623756
5426.367188	-84.957481
5447.900391	-83.824745
5469.433594	-82.958832
5490.966797	-84.861107
5512.500000	-86.589165
5534.033203	-81.436264
5555.566406	-70.338676
5577.099609	-64.693993
5598.632812	-60.969967
5620.166016	-55.833950
5641.699219	-52.712292
5663.232422	-53.575119
5684.765625	-57.403908
5706.298828	-60.162167
5727.832031	-66.532837
5749.365234	-73.913055
5770.898438	-72.714279
5792.431641	-70.912949
5813.964844	-70.877335
5835.498047	-72.138008
5857.031250	-75.063118
5878.564453	-69.803940
5900.097656	-62.193756
5921.630859	-61.849083
5943.164062	-61.399429
5964.697266	-59.768539
5986.230469	-59.585381
6007.763672	-66.128616
6029.296875	-71.781792
6050.830078	-76.788055
6072.363281	-82.568115
6093.896484	-83.460640
6115.429688	-80.777412
6136.962891	-80.061745
6158.496094	-82.437050
6180.029297	-84.966675
6201.562500	-85.698448
6223.095703	-83.544579
6244.628906	-81.726303
6266.162109	-79.553307
6287.695312	-75.222626
6309.228516	-73.175812
6330.761719	-75.774124
6352.294922	-81.319618
6373.828125	-85.878685
6395.361328	-86.874916
6416.894531	-89.252174
6438.427734	-86.528152
6459.960938	-84.607857
6481.494141	-85.265396
6503.027344	-86.581924
6524.560547	-84.381386
6546.093750	-76.046104
6567.626953	-72.767754
6589.160156	-72.670036
6610.693359	-70.955956
6632.226562	-67.032074
6653.759766	-66.757286
6675.292969	-70.665276
6696.826172	-72.903725
6718.359375	-72.946037
6739.892578	-77.010529
6761.425781	-79.642548
6782.958984	-76.917946
6804.492188	-76.470978
6826.025391	-77.674026
6847.558594	-76.205025
6869.091797	-66.593689
6890.625000	-61.897533
6912.158203	-62.317116
6933.691406	-61.692951
6955.224609	-60.921944
6976.757812	-59.821411
6998.291016	-63.466084
7019.824219	-70.295357
7041.357422	-78.542686
7062.890625	-83.879120
7084.423828	-86.474960
7105.957031	-83.566971
7127.490234	-79.676018
7149.023438	-78.211456
7170.556641	-78.486336
7192.089844	-74.302223
7213.623047	-67.979683
7235.156250	-68.511841
7256.689453	-68.238853
7278.222656	-66.454315
7299.755859	-65.130630
7321.289062	-66.799454
7342.822266	-72.434395
7364.355469	-77.763489
7385.888672	-77.062103
7407.421875	-80.584114
7428.955078	-85.365883
7450.488281	-85.201286
7472.021484	-88.824692
7493.554688	-90.831139
7515.087891	-92.355927
7536.621094	-94.904037
7558.154297	-95.208801
7579.687500	-89.293266
7601.220703	-80.761177
7622.753906	-77.199966
7644.287109	-76.890869
7665.820312	-79.241959
7687.353516	-83.209808
7708.886719	-80.596764
7730.419922	-79.444984
7751.953125	-85.756027
7773.486328	-89.399620
7795.019531	-90.284714
7816.552734	-87.973824
7838.085938	-87.763893
7859.619141	-85.980408
7881.152344	-84.802887
7902.685547	-82.325378
7924.218750	-76.679192
7945.751953	-73.963852
7967.285156	-72.862122
7988.818359	-75.438591
8010.351562	-79.367928
8031.884766	-82.874268
8053.417969	-84.147430
8074.951172	-87.046753
8096.484375	-86.897583
8118.017578	-86.180084
8139.550781	-85.407173
8161.083984	-85.362869
8182.617188	-80.954941
8204.150391	-77.120728
8225.683594	-77.692795
8247.216797	-74.824234
8268.750000	-72.636452
8290.283203	-70.933823
8311.816406	-71.328728
8333.349609	-73.954597
8354.882812	-77.983131
8376.416016	-79.336952
8397.949219	-80.010719
8419.482422	-81.922546
8441.015625	-82.066704
8462.548828	-82.511887
8484.082031	-85.002228
8505.615234	-87.625633
8527.148438	-89.391457
8548.681641	-88.201897
8570.214844	-82.897919
8591.748047	-77.682701
8613.281250	-73.884529
8634.814453	-70.933617
8656.347656	-71.383148
8677.880859	-76.638222
8699.414062	-79.085632
8720.947266	-77.539597
8742.480469	-78.733276
8764.013672	-78.937561
8785.546875	-78.341240
8807.080078	-79.104988
8828.613281	-79.270752
8850.146484	-77.118958
8871.679688	-76.286484
8893.212891	-73.593437
8914.746094	-71.102951
8936.279297	-68.943863
8957.812500	-66.534653
8979.345703	-66.821495
9000.878906	-69.777924
9022.412109	-72.219673
9043.945312	-72.628700
9065.478516	-71.454178
9087.011719	-70.628578
9108.544922	-70.153648
9130.078125	-68.208321
9151.611328	-67.439766
9173.144531	-67.457993
9194.677734	-67.687157
9216.210938	-65.685898
9237.744141	-62.393631
9259.277344	-61.056141
9280.810547	-59.286491
9302.343750	-59.114655
9323.876953	-61.412556
9345.410156	-66.092232
9366.943359	-68.531921
9388.476562	-68.211838
9410.009766	-69.312027
9431.542969	-71.998947
9453.076172	-72.797592
9474.609375	-72.463028
9496.142578	-72.091393
9517.675781	-71.483025
9539.208984	-72.229706
9560.742188	-68.748436
9582.275391	-66.149445
9603.808594	-64.977882
9625.341797	-64.549652
9646.875000	-66.404022
9668.408203	-71.167618
9689.941406	-72.679436
9711.474609	-75.178535
9733.007812	-77.182549
9754.541016	-78.989067
9776.074219	-77.982903
9797.607422	-78.009514
9819.140625	-76.632881
9840.673828	-75.989449
9862.207031	-75.753265
9883.740234	-72.463303
9905.273438	-69.838509
9926.806641	-69.609459
9948.339844	-68.114449
9969.873047	-68.351685
9991.406250	-72.272850
10012.939453	-78.276001
10034.472656	-82.083267
10056.005859	-83.895386
10077.539062	-83.206886
10099.072266	-83.292252
10120.605469	-83.512329
10142.138672	-78.040413
10163.671875	-75.275948
10185.205078	-76.085716
10206.738281	-76.478928
10228.271484	-72.284180
10249.804688	-68.845558
10271.337891	-67.144913
10292.871094	-68.719872
10314.404297	-73.275940
10335.937500	-75.472824
10357.470703	-76.875504
10379.003906	-78.053139
10400.537109	-76.577927
10422.070312	-78.448364
10443.603516	-82.482040
10465.136719	-82.551544
10486.669922	-82.698189
10508.203125	-84.005959
10529.736328	-81.418747
10551.269531	-75.593719
10572.802734	-71.283592
10594.335938	-69.352455
10615.869141	-68.640503
10637.402344	-68.795029
10658.935547	-70.000504
10680.468750	-73.344566
10702.001953	-77.873772
10723.535156	-78.005508
10745.068359	-75.814560
10766.601562	-79.478271
10788.134766	-84.255608
10809.667969	-88.653999
10831.201172	-88.162010
10852.734375	-87.479851
10874.267578	-85.509621
10895.800781	-82.872581
10917.333984	-79.136688
10938.867188	-78.002411
10960.400391	-78.977402
10981.933594	-81.670189
11003.466797	-87.287712
11025.000000	-88.895096
11046.533203	-91.458000
11068.066406	-93.645561
11089.599609	-93.300781
11111.132812	-94.807480
11132.666016	-90.623611
11154.199219	-89.085312
11175.732422	-90.051010
11197.265625	-88.602760
11218.798828	-85.782211
11240.332031	-84.768501
11261.865234	-83.269073
11283.398438	-82.609253
11304.931641	-85.054947
11326.464844	-86.597733
11347.998047	-87.492065
11369.531250	-86.009300
11391.064453	-85.172821
11412.597656	-82.821541
11434.130859	-83.033035
11455.664062	-82.000267
11477.197266	-79.491592
11498.730469	-81.524124
11520.263672	-83.622719
11541.796875	-78.544991
11563.330078	-76.093170
11584.863281	-74.039474
11606.396484	-71.709259
11627.929688	-70.874573
11649.462891	-69.463104
11670.996094	-70.811646
11692.529297	-73.314163
