Frequency (Hz)	Level (dB)
21.533203	-61.291557
43.066406	-70.843529
64.599609	-72.564804
86.132812	-76.326607
107.666016	-82.666801
129.199219	-85.446068
150.732422	-83.703537
172.265625	-84.051575
193.798828	-89.848526
215.332031	-91.565414
236.865234	-89.934395
258.398438	-82.947235
279.931641	-72.275101
301.464844	-48.648102
322.998047	-39.833557
344.531250	-43.115166
366.064453	-63.818432
387.597656	-77.715157
409.130859	-84.830467
430.664062	-84.854950
452.197266	-83.953278
473.730469	-82.517082
495.263672	-82.659027
516.796875	-78.275536
538.330078	-77.143654
559.863281	-74.808006
581.396484	-70.895111
602.929688	-60.751137
624.462891	-40.536964
645.996094	-30.138245
667.529297	-31.665148
689.062500	-47.005604
710.595703	-63.581383
732.128906	-73.016647
753.662109	-78.900391
775.195312	-78.494766
796.728516	-77.709412
818.261719	-75.260895
839.794922	-73.017494
861.328125	-70.513069
882.861328	-66.012672
904.394531	-60.321983
925.927734	-50.295559
947.460938	-31.470078
968.994141	-18.925632
990.527344	-17.820095
1012.060547	-27.208385
1033.593750	-47.847824
1055.126953	-59.535183
1076.660156	-64.615341
1098.193359	-68.042969
1119.726562	-68.369934
1141.259766	-70.585892
1162.792969	-72.251854
1184.326172	-73.171852
1205.859375	-73.741966
1227.392578	-72.960709
1248.925781	-64.710747
1270.458984	-45.555195
1291.992188	-32.153595
1313.525391	-28.687426
1335.058594	-34.072342
1356.591797	-52.148777
1378.125000	-67.392448
1399.658203	-70.457397
1421.191406	-71.662827
1442.724609	-71.830765
1464.257812	-73.035286
1485.791016	-74.272270
1507.324219	-74.502449
1528.857422	-75.179413
1550.390625	-75.778870
1571.923828	-74.409790
1593.457031	-57.797218
1614.990234	-49.238335
1636.523438	-47.861427
1658.056641	-50.125675
1679.589844	-59.051952
1701.123047	-74.730927
1722.656250	-76.435181
1744.189453	-78.661041
1765.722656	-73.587471
1787.255859	-71.115860
1808.789062	-70.955658
1830.322266	-68.810951
1851.855469	-65.408066
1873.388672	-61.975243
1894.921875	-56.880619
1916.455078	-41.085255
1937.988281	-27.812737
1959.521484	-22.465361
1981.054688	-24.889034
2002.587891	-35.383289
2024.121094	-53.456863
2045.654297	-67.199005
2067.187500	-68.865204
2088.720703	-70.928741
2110.253906	-72.844467
2131.787109	-77.290123
2153.320312	-78.496742
2174.853516	-82.579346
2196.386719	-84.529770
2217.919922	-77.632568
2239.453125	-59.897594
2260.986328	-48.802250
2282.519531	-44.847713
2304.052734	-45.436394
2325.585938	-52.123409
2347.119141	-69.357147
2368.652344	-80.638847
2390.185547	-82.756874
2411.718750	-82.492577
2433.251953	-82.709091
2454.785156	-83.705360
2476.318359	-82.528122
2497.851562	-82.692268
2519.384766	-82.797783
2540.917969	-80.534607
2562.451172	-68.236656
2583.984375	-56.786354
2605.517578	-54.028671
2627.050781	-53.335007
2648.583984	-57.310463
2670.117188	-67.940208
2691.650391	-79.888931
2713.183594	-82.566833
2734.716797	-82.149704
2756.250000	-82.289185
2777.783203	-81.752228
2799.316406	-81.754913
2820.849609	-80.207199
2842.382812	-79.160774
2863.916016	-75.145370
2885.449219	-60.255505
2906.982422	-48.163139
2928.515625	-41.934166
2950.048828	-40.067753
2971.582031	-44.016659
2993.115234	-52.294544
3014.648438	-67.043228
3036.181641	-73.325096
3057.714844	-74.434113
3079.248047	-73.993484
3100.781250	-71.750237
3122.314453	-69.947754
3143.847656	-67.716980
3165.380859	-67.288788
3186.914062	-61.945255
3208.447266	-47.229019
3229.980469	-34.204792
3251.513672	-28.897034
3273.046875	-26.418552
3294.580078	-28.277060
3316.113281	-33.955757
3337.646484	-47.295162
3359.179688	-58.563961
3380.712891	-62.134659
3402.246094	-63.585556
3423.779297	-64.094795
3445.312500	-65.229027
3466.845703	-65.892960
3488.378906	-68.022552
3509.912109	-67.837921
3531.445312	-56.164902
3552.978516	-45.359436
3574.511719	-41.981220
3596.044922	-40.222866
3617.578125	-41.907963
3639.111328	-47.338413
3660.644531	-57.508938
3682.177734	-66.629211
3703.710938	-70.948769
3725.244141	-70.634659
3746.777344	-72.598183
3768.310547	-72.915733
3789.843750	-71.998222
3811.376953	-69.965195
3832.910156	-68.143822
3854.443359	-53.146652
3875.976562	-40.268692
3897.509766	-35.614395
3919.042969	-31.283354
3940.576172	-31.332190
3962.109375	-34.329891
3983.642578	-41.013744
4005.175781	-56.760429
4026.708984	-62.864601
4048.242188	-61.105938
4069.775391	-62.217449
4091.308594	-62.793415
4112.841797	-64.328499
4134.375000	-63.149117
4155.908203	-63.207542
4177.441406	-57.626457
4198.974609	-47.375496
4220.507812	-44.055367
4242.041016	-41.414684
4263.574219	-41.121788
4285.107422	-45.050854
4306.640625	-52.580975
4328.173828	-64.116989
4349.707031	-72.642967
4371.240234	-74.408417
4392.773438	-74.557274
4414.306641	-73.201355
4435.839844	-72.597931
4457.373047	-71.427856
4478.906250	-70.836571
4500.439453	-64.880753
4521.972656	-52.157928
4543.505859	-50.300331
4565.039062	-56.477428
4586.572266	-57.100708
4608.105469	-59.039696
4629.638672	-59.435860
4651.171875	-61.388626
4672.705078	-69.273430
4694.238281	-74.734436
4715.771484	-74.775917
4737.304688	-75.658203
4758.837891	-74.610855
4780.371094	-74.624344
4801.904297	-73.626228
4823.437500	-64.775368
4844.970703	-50.853043
4866.503906	-46.508606
4888.037109	-45.349331
4909.570312	-44.723904
4931.103516	-47.450993
4952.636719	-49.879211
4974.169922	-54.096573
4995.703125	-64.655334
5017.236328	-73.877869
5038.769531	-76.187454
5060.302734	-77.614082
5081.835938	-77.605476
5103.369141	-75.649155
5124.902344	-74.171227
5146.435547	-65.581017
5167.968750	-53.175144
5189.501953	-49.645378
5211.035156	-49.363468
5232.568359	-47.476227
5254.101562	-48.591343
5275.634766	-50.257839
5297.167969	-53.619450
5318.701172	-63.233952
5340.234375	-73.556404
5361.767578	-75.612740
5383.300781	-75.523048
5404.833984	-73.826920
5426.367188	-74.665703
5447.900391	-74.727722
5469.433594	-70.210770
5490.966797	-56.547722
5512.500000	-52.701572
5534.033203	-53.870686
5555.566406	-52.258381
5577.099609	-52.207668
5598.632812	-54.075447
5620.166016	-56.262791
5641.699219	-63.036587
5663.232422	-76.052544
5684.765625	-77.146957
5706.298828	-81.446205
5727.832031	-81.159523
5749.365234	-80.730103
5770.898438	-78.629326
5792.431641	-70.626968
5813.964844	-58.883400
5835.498047	-55.348000
5857.031250	-55.819565
5878.564453	-51.620174
5900.097656	-50.823910
5921.630859	-54.499184
5943.164062	-55.673878
5964.697266	-60.440281
5986.230469	-70.782661
6007.763672	-72.829544
6029.296875	-74.334412
6050.830078	-75.723305
6072.363281	-75.886093
6093.896484	-76.432518
6115.429688	-73.190254
6136.962891	-61.996422
6158.496094	-57.786663
6180.029297	-59.945980
6201.562500	-61.001732
6223.095703	-59.783550
6244.628906	-61.373138
6266.162109	-62.568130
6287.695312	-64.567451
6309.228516	-72.345673
6330.761719	-80.815666
6352.294922	-80.945511
6373.828125	-81.097305
6395.361328	-81.184074
6416.894531	-81.539070
6438.427734	-75.980042
6459.960938	-64.916847
6481.494141	-60.686840
6503.027344	-61.108414
6524.560547	-60.533070
6546.093750	-59.374901
6567.626953	-59.222565
6589.160156	-59.747257
6610.693359	-62.788845
6632.226562	-69.040512
6653.759766	-78.950508
6675.292969	-80.919281
6696.826172	-80.466377
6718.359375	-78.930954
6739.892578	-78.502029
6761.425781	-77.976532
6782.958984	-67.360558
6804.492188	-61.815331
6826.025391	-61.342472
6847.558594	-58.440975
6869.091797	-56.499191
6890.625000	-57.920475
6912.158203	-61.953564
6933.691406	-63.537273
6955.224609	-65.835136
6976.757812	-73.044930
6998.291016	-79.251747
7019.824219	-79.906479
7041.357422	-79.658821
7062.890625	-82.147995
7084.423828	-80.565041
7105.957031	-69.627480
7127.490234	-64.847618
7149.023438	-65.471596
7170.556641	-64.035461
7192.089844	-63.193798
7213.623047	-65.407494
7235.156250	-70.722084
7256.689453	-71.195824
7278.222656	-70.500977
7299.755859	-75.544373
7321.289062	-78.670357
7342.822266	-78.828636
7364.355469	-78.385597
7385.888672	-78.859604
7407.421875	-74.053391
7428.955078	-62.692528
7450.488281	-58.060333
7472.021484	-60.565567
7493.554688	-61.891129
7515.087891	-59.757938
7536.621094	-59.922585
7558.154297	-64.904404
7579.687500	-68.135834
7601.220703	-67.596405
7622.753906	-71.973465
7644.287109	-80.732719
7665.820312	-82.555519
7687.353516	-81.528206
7708.886719	-78.743187
7730.419922	-75.735641
7751.953125	-65.728867
7773.486328	-59.542480
7795.019531	-60.676571
7816.552734	-61.141304
7838.085938	-60.225594
7859.619141	-59.861885
7881.152344	-61.932590
7902.685547	-63.553471
7924.218750	-66.488930
7945.751953	-68.572037
7967.285156	-75.769913
7988.818359	-83.320183
8010.351562	-83.390404
8031.884766	-84.232552
8053.417969	-82.129570
8074.951172	-73.597321
8096.484375	-67.934357
8118.017578	-69.205383
8139.550781	-68.385429
8161.083984	-64.751709
8182.617188	-63.416134
8204.150391	-65.806969
8225.683594	-68.972801
8247.216797	-70.471214
8268.750000	-70.808029
8290.283203	-75.170883
8311.816406	-82.502487
8333.349609	-83.796600
8354.882812	-86.232979
8376.416016	-86.697205
8397.949219	-76.137482
8419.482422	-69.349991
8441.015625	-71.477280
8462.548828	-71.684258
