Frequency (Hz)	Level (dB)
21.533203	-53.479366
43.066406	-58.565060
64.599609	-65.391525
86.132812	-69.230446
107.666016	-70.939621
129.199219	-73.938980
150.732422	-73.558189
172.265625	-76.603485
193.798828	-85.370445
215.332031	-84.079002
236.865234	-82.215637
258.398438	-81.748001
279.931641	-74.382133
301.464844	-50.072014
322.998047	-41.752663
344.531250	-45.405685
366.064453	-66.445793
387.597656	-81.150246
409.130859	-84.934776
430.664062	-81.706856
452.197266	-81.094475
473.730469	-78.983055
495.263672	-77.722511
516.796875	-75.998558
538.330078	-73.894318
559.863281	-74.524002
581.396484	-69.403877
602.929688	-58.779823
624.462891	-38.596882
645.996094	-28.660273
667.529297	-30.731724
689.062500	-47.212090
710.595703	-63.407986
732.128906	-72.660980
753.662109	-75.114983
775.195312	-75.303658
796.728516	-75.672127
818.261719	-76.434937
839.794922	-74.771080
861.328125	-71.743042
882.861328	-70.955956
904.394531	-66.390602
925.927734	-57.851578
947.460938	-39.084694
968.994141	-27.464668
990.527344	-27.497292
1012.060547	-38.473820
1033.593750	-58.382957
1055.126953	-67.704239
1076.660156	-71.950554
1098.193359	-69.255676
1119.726562	-70.811661
1141.259766	-72.824692
1162.792969	-73.316216
1184.326172	-74.437416
1205.859375	-74.530472
1227.392578	-74.892418
1248.925781	-70.495308
1270.458984	-52.242805
1291.992188	-39.161800
1313.525391	-37.094143
1335.058594	-43.894161
1356.591797	-62.396278
1378.125000	-72.966858
1399.658203	-74.288956
1421.191406	-70.508942
1442.724609	-70.866409
1464.257812	-72.846725
1485.791016	-74.105560
1507.324219	-75.295776
1528.857422	-74.594406
1550.390625	-75.565376
1571.923828	-74.666275
1593.457031	-65.471191
1614.990234	-56.741673
1636.523438	-56.695225
1658.056641	-63.276402
1679.589844	-73.430016
1701.123047	-79.043304
1722.656250	-79.559875
1744.189453	-75.916283
1765.722656	-75.060585
1787.255859	-77.085060
1808.789062	-74.778709
1830.322266	-71.346725
1851.855469	-68.063805
1873.388672	-67.252815
1894.921875	-61.621063
1916.455078	-46.866322
1937.988281	-31.977680
1959.521484	-27.965919
1981.054688	-31.028015
2002.587891	-41.395229
2024.121094	-57.171303
2045.654297	-61.297436
2067.187500	-62.287746
2088.720703	-64.339775
2110.253906	-69.678047
2131.787109	-69.331772
2153.320312	-71.179817
2174.853516	-71.045250
2196.386719	-69.721535
2217.919922	-67.161911
2239.453125	-53.965778
2260.986328	-40.709782
2282.519531	-36.370201
2304.052734	-38.401897
2325.585938	-46.277576
2347.119141	-64.085083
2368.652344	-75.384575
2390.185547	-77.189217
2411.718750	-74.330612
2433.251953	-76.364471
2454.785156	-78.005875
2476.318359	-78.880524
2497.851562	-77.075180
2519.384766	-76.413811
2540.917969	-77.045105
2562.451172	-65.308289
2583.984375	-52.643726
2605.517578	-48.112217
2627.050781	-48.589859
2648.583984	-53.606308
2670.117188	-66.503685
2691.650391	-78.777695
2713.183594	-78.964592
2734.716797	-75.837036
2756.250000	-77.364113
2777.783203	-77.939568
2799.316406	-76.523308
2820.849609	-76.524719
2842.382812	-75.094482
2863.916016	-70.627312
2885.449219	-60.061703
2906.982422	-46.565453
2928.515625	-41.502842
2950.048828	-41.914188
2971.582031	-45.451309
2993.115234	-54.499340
3014.648438	-69.565529
3036.181641	-75.816101
3057.714844	-74.560440
3079.248047	-76.409050
3100.781250	-74.494476
3122.314453	-71.476540
3143.847656	-68.855103
3165.380859	-64.016388
3186.914062	-60.985039
3208.447266	-47.425541
3229.980469	-33.299335
3251.513672	-28.048214
3273.046875	-28.317638
3294.580078	-30.680492
3316.113281	-37.242107
3337.646484	-51.523735
3359.179688	-62.429451
3380.712891	-62.179043
3402.246094	-60.129688
3423.779297	-61.739769
3445.312500	-63.943928
3466.845703	-65.576180
3488.378906	-61.618515
3509.912109	-61.916546
3531.445312	-55.075298
3552.978516	-43.256897
3574.511719	-37.928196
3596.044922	-37.693409
3617.578125	-39.795925
3639.111328	-44.777073
3660.644531	-55.854172
3682.177734	-67.392403
3703.710938	-65.402390
3725.244141	-63.450348
3746.777344	-66.008835
3768.310547	-67.606270
3789.843750	-66.995888
3811.376953	-64.256607
3832.910156	-59.712185
3854.443359	-49.375149
3875.976562	-35.835014
3897.509766	-29.629919
3919.042969	-28.685043
3940.576172	-30.317423
3962.109375	-32.741974
3983.642578	-40.780548
4005.175781	-55.920177
4026.708984	-61.160622
4048.242188	-62.477211
4069.775391	-67.249832
4091.308594	-69.344307
4112.841797	-69.763382
4134.375000	-70.294418
4155.908203	-72.425529
4177.441406	-64.299225
4198.974609	-54.119873
4220.507812	-49.707047
4242.041016	-49.762127
4263.574219	-51.080532
4285.107422	-53.603928
4306.640625	-61.535027
4328.173828	-73.762428
4349.707031	-77.406487
4371.240234	-79.064827
4392.773438	-79.852501
4414.306641	-80.004364
4435.839844	-81.960938
4457.373047	-81.767288
4478.906250	-82.573845
4500.439453	-76.737404
4521.972656	-67.035194
4543.505859	-59.551632
4565.039062	-59.112331
4586.572266	-57.873917
4608.105469	-57.323292
4629.638672	-60.349270
4651.171875	-70.785820
4672.705078	-79.208008
4694.238281	-77.758514
4715.771484	-74.672714
4737.304688	-76.775543
4758.837891	-77.672707
4780.371094	-74.181046
4801.904297	-71.960892
4823.437500	-63.573914
