Frequency (Hz)	Level (dB)
21.533203	-57.405548
43.066406	-72.393707
64.599609	-81.331749
86.132812	-79.640251
107.666016	-82.624229
129.199219	-84.240852
150.732422	-85.214279
172.265625	-86.824493
193.798828	-86.683426
215.332031	-85.338158
236.865234	-80.479942
258.398438	-74.039299
279.931641	-64.838615
301.464844	-47.167606
322.998047	-33.184444
344.531250	-32.444889
366.064453	-44.203407
387.597656	-62.921108
409.130859	-70.178391
430.664062	-69.971001
452.197266	-68.804825
473.730469	-68.139565
495.263672	-68.577515
516.796875	-70.121689
538.330078	-71.567490
559.863281	-73.051750
581.396484	-74.080322
602.929688	-70.693573
624.462891	-53.308659
645.996094	-39.986980
667.529297	-35.642857
689.062500	-40.098797
710.595703	-58.436092
732.128906	-73.636230
753.662109	-82.578316
775.195312	-86.255104
796.728516	-87.643562
818.261719	-86.034683
839.794922	-84.947189
861.328125	-84.829102
882.861328	-83.279282
904.394531	-82.846169
925.927734	-77.428810
947.460938	-61.914074
968.994141	-47.908184
990.527344	-39.427238
1012.060547	-37.942894
1033.593750	-45.666370
1055.126953	-66.282700
1076.660156	-77.417923
1098.193359	-80.454750
1119.726562	-79.225601
1141.259766	-78.866295
1162.792969	-77.862350
1184.326172	-78.410980
1205.859375	-80.601913
1227.392578	-82.918579
1248.925781	-83.294678
1270.458984	-74.657181
1291.992188	-60.108776
1313.525391	-52.578503
1335.058594	-47.279877
1356.591797	-48.056900
1378.125000	-57.743626
1399.658203	-77.760986
1421.191406	-82.058746
1442.724609	-81.839645
1464.257812	-78.521347
1485.791016	-77.565521
1507.324219	-78.611771
1528.857422	-80.044647
1550.390625	-81.519424
1571.923828	-82.733330
1593.457031	-80.199585
1614.990234	-71.935249
1636.523438	-66.055077
1658.056641	-59.658936
1679.589844	-55.994781
1701.123047	-58.440018
1722.656250	-71.333572
1744.189453	-80.789330
1765.722656	-82.510880
1787.255859	-83.607803
1808.789062	-85.441147
1830.322266	-86.823212
1851.855469	-83.892914
1873.388672	-81.330734
1894.921875	-81.494949
1916.455078	-80.743660
1937.988281	-64.152351
1959.521484	-57.593845
1981.054688	-51.647694
2002.587891	-46.699646
2024.121094	-46.160980
2045.654297	-52.255917
2067.187500	-68.477539
2088.720703	-76.321915
