Frequency (Hz)	Level (dB)
21.533203	-65.914619
43.066406	-77.330673
64.599609	-84.672760
86.132812	-85.855957
107.666016	-87.979912
129.199219	-93.100662
150.732422	-88.627541
172.265625	-86.896393
193.798828	-84.801704
215.332031	-83.543144
236.865234	-78.463715
258.398438	-71.810028
279.931641	-61.636677
301.464844	-42.888100
322.998047	-31.086428
344.531250	-32.267387
366.064453	-48.006504
387.597656	-62.862064
409.130859	-68.072807
430.664062	-65.713760
452.197266	-67.686584
473.730469	-72.050529
495.263672	-73.543060
516.796875	-73.916367
538.330078	-72.260857
559.863281	-70.099525
581.396484	-69.977127
602.929688	-69.269272
624.462891	-52.756199
645.996094	-36.979366
667.529297	-34.456165
689.062500	-43.564735
710.595703	-65.911377
732.128906	-76.993515
753.662109	-84.014473
775.195312	-88.243027
796.728516	-86.431709
818.261719	-86.580719
839.794922	-86.690315
861.328125	-82.782425
882.861328	-78.610062
904.394531	-77.510399
925.927734	-72.424179
947.460938	-59.734882
968.994141	-40.555672
990.527344	-33.519226
1012.060547	-36.917469
1033.593750	-53.553185
1055.126953	-67.668823
1076.660156	-72.746651
1098.193359	-71.736610
1119.726562	-67.732086
1141.259766	-66.919472
1162.792969	-64.118881
1184.326172	-65.338173
1205.859375	-65.269241
1227.392578	-64.589645
1248.925781	-62.295475
1270.458984	-60.431660
1291.992188	-49.568470
1313.525391	-42.600288
1335.058594	-43.565632
1356.591797	-55.081615
1378.125000	-69.315506
1399.658203	-76.820602
1421.191406	-78.284912
1442.724609	-80.482071
1464.257812	-78.815834
1485.791016	-80.132553
1507.324219	-81.198494
1528.857422	-83.445480
1550.390625	-86.646103
1571.923828	-89.768318
1593.457031	-92.111092
1614.990234	-78.386917
1636.523438	-66.391693
1658.056641	-62.583443
1679.589844	-67.703331
1701.123047	-84.960625
1722.656250	-93.016098
1744.189453	-92.118629
1765.722656	-93.298294
1787.255859	-93.161896
1808.789062	-94.182777
1830.322266	-97.468925
1851.855469	-100.832771
1873.388672	-99.453362
1894.921875	-101.017853
1916.455078	-100.511597
1937.988281	-89.516548
1959.521484	-77.841240
1981.054688	-71.452026
2002.587891	-72.592102
2024.121094	-82.032013
2045.654297	-94.345879
2067.187500	-100.707253
2088.720703	-100.023903
2110.253906	-97.332314
2131.787109	-98.457916
2153.320312	-93.043053
2174.853516	-95.599220
2196.386719	-96.148735
2217.919922	-97.253777
2239.453125	-98.637939
2260.986328	-101.820282
2282.519531	-88.626091
2304.052734	-81.882935
2325.585938	-78.382492
2347.119141	-80.513283
2368.652344	-92.218430
2390.185547	-101.294289
2411.718750	-98.833351
2433.251953	-99.161774
2454.785156	-96.036278
2476.318359	-94.271866
2497.851562	-90.966835
2519.384766	-90.221970
2540.917969	-90.424690
2562.451172	-90.183601
2583.984375	-85.305656
2605.517578	-73.010574
2627.050781	-64.804207
2648.583984	-60.886169
2670.117188	-62.785618
2691.650391	-71.344818
2713.183594	-81.284882
2734.716797	-83.089088
2756.250000	-85.481422
2777.783203	-87.122681
2799.316406	-86.221260
2820.849609	-81.277260
2842.382812	-81.714378
2863.916016	-85.498817
2885.449219	-89.604523
2906.982422	-88.041977
2928.515625	-80.569954
2950.048828	-72.970581
2971.582031	-69.575302
2993.115234	-68.878922
3014.648438	-74.212143
3036.181641	-87.491508
3057.714844	-93.104797
3079.248047	-95.508621
3100.781250	-90.333206
3122.314453	-85.590637
3143.847656	-80.620461
3165.380859	-79.473991
3186.914062	-80.954750
3208.447266	-82.589478
3229.980469	-86.669762
3251.513672	-80.287079
3273.046875	-71.049980
3294.580078	-67.459686
3316.113281	-68.435150
3337.646484	-72.808998
3359.179688	-81.400833
3380.712891	-89.597321
3402.246094	-89.041367
3423.779297	-90.773315
3445.312500	-93.985313
3466.845703	-92.998459
3488.378906	-94.613197
3509.912109	-96.335541
3531.445312	-97.223320
3552.978516	-97.264801
3574.511719	-94.999336
3596.044922	-85.252892
3617.578125	-78.182922
3639.111328	-73.489380
3660.644531	-73.224808
3682.177734	-79.121727
3703.710938	-86.994370
3725.244141	-86.190353
3746.777344	-87.793175
3768.310547	-90.547073
3789.843750	-87.587845
3811.376953	-86.058334
3832.910156	-86.327026
3854.443359	-87.160950
3875.976562	-88.577019
3897.509766	-85.284035
3919.042969	-74.713638
3940.576172	-67.128716
3962.109375	-64.490356
3983.642578	-60.812038
4005.175781	-61.671379
4026.708984	-70.201805
4048.242188	-80.809868
4069.775391	-85.826302
4091.308594	-86.623886
4112.841797	-83.941162
4134.375000	-82.820450
4155.908203	-82.584007
4177.441406	-83.515396
4198.974609	-85.223793
4220.507812	-86.902008
4242.041016	-79.055206
4263.574219	-69.553085
4285.107422	-66.536255
4306.640625	-66.576393
4328.173828	-69.809647
4349.707031	-77.083786
4371.240234	-88.319481
4392.773438	-96.269821
4414.306641	-99.406448
4435.839844	-102.447083
4457.373047	-99.918480
4478.906250	-99.194160
4500.439453	-97.155914
