Frequency (Hz)	Level (dB)
21.533203	-66.494614
43.066406	-79.551933
64.599609	-86.451767
86.132812	-87.948952
107.666016	-89.205826
129.199219	-88.008095
150.732422	-89.913139
172.265625	-90.024536
193.798828	-89.745422
215.332031	-92.989120
236.865234	-92.816147
258.398438	-90.138924
279.931641	-85.452026
301.464844	-72.809853
322.998047	-49.807018
344.531250	-45.905716
366.064453	-53.991058
387.597656	-78.960388
409.130859	-86.299446
430.664062	-85.430481
452.197266	-82.543602
473.730469	-80.389664
495.263672	-78.154663
516.796875	-74.849869
538.330078	-70.970940
559.863281	-68.465431
581.396484	-63.150597
602.929688	-56.834446
624.462891	-47.538235
645.996094	-30.689814
667.529297	-15.566936
689.062500	-14.080434
710.595703	-24.312016
732.128906	-45.675838
753.662109	-55.799496
775.195312	-62.914291
796.728516	-68.104477
818.261719	-72.463264
839.794922	-75.310440
861.328125	-78.512146
882.861328	-78.206802
904.394531	-78.440880
925.927734	-75.113037
947.460938	-74.076691
968.994141	-63.237965
990.527344	-43.071602
1012.060547	-32.341225
1033.593750	-32.534931
1055.126953	-43.772011
1076.660156	-64.838196
1098.193359	-72.031921
1119.726562	-73.094009
1141.259766	-70.972069
1162.792969	-69.403633
1184.326172	-67.517181
1205.859375	-67.254715
1227.392578	-69.181686
1248.925781	-68.940834
1270.458984	-71.346313
1291.992188	-74.928467
1313.525391	-67.366447
1335.058594	-47.626801
1356.591797	-40.540096
1378.125000	-42.322670
1399.658203	-54.093155
1421.191406	-74.541306
1442.724609	-81.546692
1464.257812	-74.885101
1485.791016	-72.864563
1507.324219	-71.953156
1528.857422	-70.351288
1550.390625	-70.686485
1571.923828	-71.831451
1593.457031	-71.250778
1614.990234	-72.394501
1636.523438	-71.460434
1658.056641	-57.575146
1679.589844	-38.539875
1701.123047	-32.856617
1722.656250	-35.781345
1744.189453	-48.305412
1765.722656	-65.820076
1787.255859	-63.335110
1808.789062	-57.860592
1830.322266	-56.752289
1851.855469	-58.460342
1873.388672	-59.635406
1894.921875	-61.162758
1916.455078	-64.310265
1937.988281	-67.908363
1959.521484	-76.572250
1981.054688	-76.430077
2002.587891	-57.238789
2024.121094	-46.923065
2045.654297	-42.376251
2067.187500	-43.862240
2088.720703	-56.728443
2110.253906	-75.218613
2131.787109	-82.331238
2153.320312	-81.054596
2174.853516	-81.564819
2196.386719	-81.931679
2217.919922	-81.567070
2239.453125	-83.379974
2260.986328	-86.602669
2282.519531	-86.830132
2304.052734	-87.044685
2325.585938	-76.952255
2347.119141	-58.325039
2368.652344	-47.948135
2390.185547	-45.801815
2411.718750	-50.358059
2433.251953	-63.962952
