Frequency (Hz)	Level (dB)
21.533203	-60.801666
43.066406	-73.921799
64.599609	-85.751274
86.132812	-86.900146
107.666016	-88.206871
129.199219	-84.798515
150.732422	-86.740646
172.265625	-88.327789
193.798828	-90.318565
215.332031	-92.422325
236.865234	-91.386734
258.398438	-86.970253
279.931641	-79.222969
301.464844	-64.777145
322.998047	-43.749939
344.531250	-39.992184
366.064453	-47.904026
387.597656	-73.149994
409.130859	-82.361153
430.664062	-83.163857
452.197266	-80.670120
473.730469	-78.680443
495.263672	-72.195786
516.796875	-70.516792
538.330078	-70.969330
559.863281	-69.332458
581.396484	-64.907188
602.929688	-58.303421
624.462891	-48.450558
645.996094	-30.790974
667.529297	-17.286289
689.062500	-15.864955
710.595703	-25.242828
732.128906	-47.757580
753.662109	-57.998932
775.195312	-65.114212
796.728516	-70.454750
818.261719	-72.890419
839.794922	-70.359016
861.328125	-72.202560
882.861328	-74.457329
904.394531	-73.070129
925.927734	-70.202957
947.460938	-63.774567
968.994141	-52.974144
990.527344	-35.953667
1012.060547	-27.229082
1033.593750	-27.320332
1055.126953	-35.595673
1076.660156	-56.269871
1098.193359	-66.049850
1119.726562	-69.285027
1141.259766	-67.662544
1162.792969	-64.220840
1184.326172	-60.780376
1205.859375	-62.993961
1227.392578	-68.952568
1248.925781	-68.915878
1270.458984	-69.917320
1291.992188	-65.348778
1313.525391	-55.410305
1335.058594	-41.323235
1356.591797	-38.260471
1378.125000	-42.684456
1399.658203	-50.495678
1421.191406	-62.218849
1442.724609	-64.912537
1464.257812	-61.402985
1485.791016	-62.539970
1507.324219	-60.985546
1528.857422	-60.302517
1550.390625	-64.006058
1571.923828	-71.455704
1593.457031	-73.487617
1614.990234	-75.084976
1636.523438	-69.858963
1658.056641	-54.058037
1679.589844	-42.944996
1701.123047	-40.662945
1722.656250	-43.926514
1744.189453	-51.509773
1765.722656	-68.716446
1787.255859	-83.391159
1808.789062	-87.785942
1830.322266	-91.822044
1851.855469	-86.219940
1873.388672	-83.689713
1894.921875	-86.243790
1916.455078	-91.281883
1937.988281	-88.702515
1959.521484	-79.648865
1981.054688	-71.406853
2002.587891	-60.708561
2024.121094	-50.750843
2045.654297	-47.495090
2067.187500	-50.206085
2088.720703	-54.628887
2110.253906	-67.943542
2131.787109	-85.177361
2153.320312	-88.876190
2174.853516	-86.335114
2196.386719	-84.683945
2217.919922	-85.059196
2239.453125	-85.319908
2260.986328	-86.925499
2282.519531	-78.959045
2304.052734	-72.561569
2325.585938	-65.782867
2347.119141	-57.222580
2368.652344	-48.763851
2390.185547	-47.916035
2411.718750	-54.219723
2433.251953	-58.471313
2454.785156	-70.665215
2476.318359	-87.332855
2497.851562	-88.439095
2519.384766	-83.197853
2540.917969	-80.474861
2562.451172	-80.428535
2583.984375	-83.351509
2605.517578	-85.316772
2627.050781	-84.424316
2648.583984	-77.860229
2670.117188	-67.844604
2691.650391	-59.955975
2713.183594	-54.818375
2734.716797	-54.100571
2756.250000	-60.679588
2777.783203	-70.510338
2799.316406	-79.136665
2820.849609	-83.450256
2842.382812	-80.497986
2863.916016	-76.356506
2885.449219	-74.237350
2906.982422	-73.181160
2928.515625	-75.284821
2950.048828	-72.128250
2971.582031	-64.096649
2993.115234	-55.861408
3014.648438	-43.149693
3036.181641	-35.371243
3057.714844	-29.639936
3079.248047	-31.065622
3100.781250	-38.367451
3122.314453	-42.095131
3143.847656	-50.874645
3165.380859	-66.263809
3186.914062	-66.691788
3208.447266	-64.420174
3229.980469	-63.613071
3251.513672	-65.519112
3273.046875	-67.950195
3294.580078	-65.200493
3316.113281	-61.714695
3337.646484	-57.224449
3359.179688	-50.612644
3380.712891	-45.848576
3402.246094	-43.959110
3423.779297	-47.332401
3445.312500	-53.988602
3466.845703	-55.418434
3488.378906	-61.964432
3509.912109	-79.141006
3531.445312	-81.321548
3552.978516	-78.524612
3574.511719	-77.708633
3596.044922	-79.574768
3617.578125	-78.501945
3639.111328	-75.275291
3660.644531	-68.108704
3682.177734	-56.462624
3703.710938	-48.597797
3725.244141	-44.944965
3746.777344	-43.229843
3768.310547	-46.288109
3789.843750	-52.704273
3811.376953	-58.717457
3832.910156	-64.178482
3854.443359	-71.102951
3875.976562	-69.307480
3897.509766	-67.536781
3919.042969	-65.885963
3940.576172	-67.215469
3962.109375	-69.060875
3983.642578	-64.638908
4005.175781	-60.562103
4026.708984	-52.002354
4048.242188	-46.404102
4069.775391	-42.656937
4091.308594	-41.545395
4112.841797	-45.114872
4134.375000	-53.022484
4155.908203	-56.156170
4177.441406	-61.462383
4198.974609	-70.107788
4220.507812	-68.979179
4242.041016	-66.652145
4263.574219	-65.836601
4285.107422	-64.365845
4306.640625	-62.688210
4328.173828	-59.745872
4349.707031	-55.819229
4371.240234	-48.440735
4392.773438	-45.754826
4414.306641	-43.286243
4435.839844	-43.203079
4457.373047	-47.938622
4478.906250	-51.604626
4500.439453	-50.655136
4521.972656	-55.474598
4543.505859	-68.852432
4565.039062	-72.425598
4586.572266	-72.892708
4608.105469	-73.900780
4629.638672	-76.685532
4651.171875	-75.488960
4672.705078	-74.294495
4694.238281	-71.793549
4715.771484	-65.695465
4737.304688	-65.230217
4758.837891	-64.047638
4780.371094	-62.667641
4801.904297	-66.548988
4823.437500	-71.075523
4844.970703	-71.053871
4866.503906	-75.601944
4888.037109	-88.453392
4909.570312	-87.263344
4931.103516	-85.101761
4952.636719	-86.086433
4974.169922	-87.349396
4995.703125	-84.337341
5017.236328	-76.137459
5038.769531	-62.869156
5060.302734	-59.512825
5081.835938	-58.386158
5103.369141	-53.206913
5124.902344	-53.598026
5146.435547	-57.599236
5167.968750	-65.075516
5189.501953	-69.183014
5211.035156	-68.213860
5232.568359	-71.067963
5254.101562	-70.633759
5275.634766	-68.177650
5297.167969	-67.875587
5318.701172	-70.758270
5340.234375	-71.609825
5361.767578	-70.456032
5383.300781	-68.062828
5404.833984	-61.111023
5426.367188	-54.433819
5447.900391	-52.212967
5469.433594	-53.755196
5490.966797	-60.554550
5512.500000	-63.111797
5534.033203	-64.691505
5555.566406	-67.454659
5577.099609	-72.935959
5598.632812	-73.341675
5620.166016	-73.205582
